relname,25%,50%,75%,count,max,mean,min,std
announcement,1.0,1.0,1.5,7.0,2.0,1.2857142857142858,1.0,0.48795003647426666
announcement_acknowledgement,17.0,27.0,34.75,6.0,450.0,92.83333333333333,2.0,175.397168354186
audit_event,8954.0,169116.0,2594412.0,451.0,324953242.0,7098497.206208426,1.0,23484682.415729206
blob_triggers,3.0,4.0,4.0,525.0,4.0,3.6133333333333333,3.0,0.48745065647062075
bom_component_issue,30.25,186.0,1153.5,22.0,31730.0,1939.2272727272727,1.0,6681.861523713129
ca_sloc_language,15.25,16.5,17.75,2.0,19.0,16.5,14.0,3.5355339059327378
central_comment,5.0,25.0,1060.0,125.0,61033.0,1867.648,1.0,6274.214829756427
central_custom_component,3.5,14.0,42.5,159.0,5945.0,99.09433962264151,1.0,498.66616763112097
central_custom_component_release,1.0,3.5,12.75,82.0,11435.0,246.2439024390244,1.0,1310.7552488902056
central_custom_field,1.0,1.0,2.75,18.0,32.0,3.9444444444444446,1.0,7.392143860185163
central_custom_field_data,9.0,111.0,1461.5,51.0,131040.0,4729.64705882353,1.0,18836.84364517955
central_custom_field_option,2.25,3.0,4.0,14.0,862.0,64.92857142857143,2.0,229.42284249686355
central_license,1.0,4.0,23.0,49.0,281.0,25.653061224489797,1.0,54.5647745881016
central_license_family,7.0,7.0,7.0,61.0,8.0,6.80327868852459,1.0,1.1664714903095221
central_license_family_risk_rule,252.0,252.0,252.0,62.0,432.0,255.48387096774192,36.0,41.07719319967477
central_license_license_term,15010.0,15010.0,15010.0,50.0,15013.0,12909.52,1.0,5257.9793870160565
central_license_license_term_incompatibility,1417086.0,1417086.0,1417086.0,41.0,1419028.0,1313737.6097560977,412.0,372725.5426933387
central_license_term,68.0,68.0,68.0,480.0,1124.0,73.43333333333334,68.0,50.17871748300675
central_license_term_category,1.0,1.0,1.0,59.0,3.0,1.0338983050847457,1.0,0.2603778219616477
central_license_term_incompatibility,44.0,44.0,44.0,38.0,44.0,44.0,44.0,0.0
central_project,3.0,12.0,273.0,325.0,9629.0,390.68,1.0,1085.3967794723224
central_project_group,1.0,1.0,2.0,92.0,32.0,2.5543478260869565,1.0,4.536455823451507
